zzzsSt,vrsta,oe,tip,sifOe,naziv,naslov,posta,tel,splStran
102182,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM HRASTNIK,NOVI DOM 11,1430 HRASTNIK,(03) 565 44 50,http://zd-hrastnik.si/
199109,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM IDRIJA,ULICA OTONA ŽUPANČIČA 3,5280 IDRIJA,,http://www.zd-idrija.si
2817701,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM IVANČNA GORICA,CESTA 2. GRUPE ODREDOV 16,1295 IVANČNA GORICA,01 781 90 00,http://sl.zd-ivg.si/
205445,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM KOČEVJE,ROŠKA CESTA 18,1330 KOČEVJE,(01) 893 90 00,https://www.zdkocevje.si/
96289,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM LITIJA,PARTIZANSKA POT 8 A,1270 LITIJA,,http://www.zd-litija.si
95161,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM LJUBLJANA,METELKOVA ULICA 9,1000 LJUBLJANA,,https://www.zd-lj.si
199126,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM LOGATEC,NOTRANJSKA CESTA 2,1370 LOGATEC,(01) 750 82 20,https://zd-logatec.si/
3259412,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM MEDVODE,OSTROVRHARJEVA ULICA 6,1215 MEDVODE,,http://www.zd-medvode.si/
102320,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM TRBOVLJE,RUDARSKA CESTA 12,1420 TRBOVLJE,(03) 562 41 00,https://www.zd-trbovlje.si/
199021,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM VRHNIKA,CESTA 6. MAJA 11,1360 VRHNIKA,,http://www.zd-vrhnika.si
680829,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM ZA ŠTUDENTE UNIVERZE V LJUBLJANI,AŠKERČEVA CESTA 4,1000 LJUBLJANA,,https://www.zdstudenti.si/
102699,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM ZAGORJE OB SAVI CESTA ZMAGE 1,CESTA ZMAGE 1,1410 ZAGORJE OB SAVI,(03) 565 50 00,http://www.zd-zagorje.si
92182,Javni,OE MARIBOR,Bolnišnica,260000,SPLOŠNA BOLNIŠNICA DR. JOŽETA POTRČA PTUJ,POTRČEVA CESTA 23,2250 PTUJ,(02) 749 14 00,http://www.sb-ptuj.si
91432,Javni,OE MARIBOR,Bolnišnica,260000,UNIVERZITETNI KLINIČNI CENTER MARIBOR,LJUBLJANSKA ULICA 5,2000 MARIBOR,(02) 321 10 00,http://www.ukc-mb.si
90255,Javni,OE MARIBOR,Zdravstveni dom,260000,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,ULICA TALCEV 9,2000 MARIBOR,02 22 86 200,http://www.zd-mb.si
130345,Javni,OE MARIBOR,Zdravstveni dom,260000,ZDRAVSTVENI DOM LENART,MAISTROVA ULICA 22,2230 LENART V SLOV. GORICAH,02 729 18 12,http://www.zd-lenart.si
92120,Javni,OE MARIBOR,Zdravstveni dom,260000,ZDRAVSTVENI DOM ORMOŽ,ULICA DR. HROVATA 4,2270 ORMOŽ,02 741 09 00,http://www.zd-ormoz.si/
490314,Javni,OE MARIBOR,Zdravstveni dom,260000,ZDRAVSTVENI DOM PTUJ,POTRČEVA CESTA 19 A,2250 PTUJ,02/787-15-00,http://www.zd-ptuj.si
146418,Javni,OE MARIBOR,Zdravstveni dom,260000,ZDRAVSTVENI DOM SLOVENSKA BISTRICA,PARTIZANSKA ULICA 30,2310 SLOVENSKA BISTRICA,(02) 843 27 00,http://www.zd-sb.si
217823,Javni,OE MURSKA SOBOTA,Bolnišnica,270000,SPLOŠNA BOLNIŠNICA MURSKA SOBOTA,ULICA DR. VRBNJAKA 6,9000 MURSKA SOBOTA,02 512 31 09,https://www.sb-ms.si/
821132,Javni,OE MURSKA SOBOTA,Zdravstveni dom,270000,ZDRAVSTVENI DOM GORNJA RADGONA,PARTIZANSKA CESTA 40,9250 GORNJA RADGONA,,https://www.zd-gr.si/
772419,Javni,OE MURSKA SOBOTA,Zdravstveni dom,270000,ZDRAVSTVENI DOM LENDAVA - EGESZSEGHAZ LENDVA,KIDRIČEVA ULICA 34,9220 LENDAVA - LENDVA,,https://www.zd-lendava.si
786482,Javni,OE MURSKA SOBOTA,Zdravstveni dom,270000,ZDRAVSTVENI DOM LJUTOMER,CESTA I. SLOVENSKEGA TABORA 2,9240 LJUTOMER,02 585 14 00,http://www.zd-lju.si
772405,Javni,OE MURSKA SOBOTA,Zdravstveni dom,270000,ZDRAVSTVENI DOM MURSKA SOBOTA,GRAJSKA ULICA 24,9000 MURSKA SOBOTA,,http://www.zd-ms.si
93984,Javni,OE NOVA GORICA,Bolnišnica,280000,SPLOŠNA BOLNIŠNICA DR. FRANCA DERGANCA NOVA GORICA,ULICA PADLIH BORCEV 13 A,5290 ŠEMPETER PRI GORICI,,http://www.bolnisnica-go.si/
141992,Javni,OE NOVA GORICA,Zdravstveni dom,280000,ZDRAVSTVENI DOM AJDOVŠČINA,TOVARNIŠKA CESTA 3,5270 AJDOVŠČINA,,https://www.zd-ajdovscina.si/
141819,Javni,OE NOVA GORICA,Zdravstveni dom,280000,ZDRAVSTVENI DOM OSNOVNO VARSTVO NOVA GORICA,REJČEVA ULICA 4,5000 NOVA GORICA,,http://www.zd-go.si
141900,Javni,OE NOVA GORICA,Zdravstveni dom,280000,ZDRAVSTVENI DOM TOLMIN,PREŠERNOVA ULICA 6 A,5220 TOLMIN,,https://www.zd-tolmin.si
142070,Javni,OE NOVA GORICA,Zdravstveni dom,280000,ZDRAVSTVENI DOM ZOBOZDRAVSTVENO VARSTVO NOVA GORICA,ULICA GRADNIKOVE BRIGADE 7,5000 NOVA GORICA,,https://www.zdzv-ng.si/
92103,Javni,OE NOVO MESTO,Bolnišnica,290000,SPLOŠNA BOLNIŠNICA NOVO MESTO,ŠMIHELSKA CESTA 1,8000 NOVO MESTO,073 916 100,http://www.sb-nm.si
91813,Javni,OE NOVO MESTO,Zdravstveni dom,290000,ZDRAVSTVENI DOM METLIKA,CESTA BRATSTVA IN ENOTNOSTI 71,8330 METLIKA,07 369 14 00,http://www.zd-metlika.si
91918,Javni,OE NOVO MESTO,Zdravstveni dom,290000,ZDRAVSTVENI DOM NOVO MESTO,KANDIJSKA CESTA 4,8000 NOVO MESTO,07 391 67 00,http://www.zd-nm.si
91784,Javni,OE NOVO MESTO,Zdravstveni dom,290000,ZDRAVSTVENI DOM TREBNJE,GOLIEV TRG 3,8210 TREBNJE,073 481 740,http://www.zd-tr.si
91830,Javni,OE NOVO MESTO,Zdravstveni dom,290000,ZDRAVSTVENI DOM ČRNOMELJ,DELAVSKA POT 4,8340 ČRNOMELJ,07 306 17 00,http://www.zd-crnomelj.si
92637,Javni,OE RAVNE NA KOROŠKEM,Bolnišnica,300000,SPLOŠNA BOLNIŠNICA SLOVENJ GRADEC,GOSPOSVETSKA CESTA 1,2380 SLOVENJ GRADEC,02 882 34 00,https://www.sb-sg.si/
92260,Javni,OE RAVNE NA KOROŠKEM,Zdravstveni dom,300000,ZDRAVSTVENI DOM DRAVOGRAD,TRG 4. JULIJA 4,2370 DRAVOGRAD,(02) 872 34 00,http://www.zd-dravograd.si
92290,Javni,OE RAVNE NA KOROŠKEM,Zdravstveni dom,300000,ZDRAVSTVENI DOM RADLJE OB DRAVI,MARIBORSKA CESTA 37,2360 RADLJE OB DRAVI,02 877 08 01,http://www.zd-radlje.si
92407,Javni,OE RAVNE NA KOROŠKEM,Zdravstveni dom,300000,ZDRAVSTVENI DOM RAVNE NA KOROŠKEM,OB SUHI 11,2390 RAVNE NA KOROŠKEM,(02) 870 52 00,http://www.zd-ravne.si
92501,Javni,OE RAVNE NA KOROŠKEM,Zdravstveni dom,300000,ZDRAVSTVENI DOM SLOVENJ GRADEC,PARTIZANSKA POT 16,2380 SLOVENJ GRADEC,(02) 885 79 40,http://www.zd-sg.si
789398,Javni,OE RAVNE NA KOROŠKEM,Zdravstveni dom,300000,ZDRAVSTVENI DOM VELENJE,VODNIKOVA CESTA 1,3320 VELENJE,03 899 54 00,http://www.zd-velenje.si
223507,Javni,OE RAVNE NA KOROŠKEM,Zdravstveni dom,300000,ZGORNJESAVINJSKI ZDRAVSTVENI DOM NAZARJE,ZADREČKA CESTA 14,3331 NAZARJE,(03) 839 24 83,http://www.zd-mozirje.si
3122512,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,AL MAHDAWI FUAD - SPECIALIST SPLOŠNE MEDICINE,CELJSKA CESTA 7,3250 ROGAŠKA SLATINA,(03) 819 21 80,https://www.zdravniki-zobozdravniki.net/clan/Fuad-AL-MAHDAWI-1265/
4350649,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"AMBULANTA SPLOŠNE MEDICINE JURE BIĆANIĆ, DR. MED., SPEC. SPL. MED.",KOVAŠKA CESTA 22,3214 ZREČE,03 752 13 40,https://www.zdravniki-zobozdravniki.net/clan/Jure-BICANIC-1016/
8661983,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"BAJC-MED, ZDRAVSTVENE STORITVE, D.O.O.",STRITARJEVA ULICA 4,3250 ROGAŠKA SLATINA,,
4029448,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"DIAGNOSTIČNI CENTER ŠENTJUR, ZDRAVSTVENE IN DRUGE STORITVE, TRGOVINA IN INŽENIRING, D.O.O.",ULICA DUŠANA KVEDRA 27,3230 ŠENTJUR,(03) 746 25 50,http://www.dc-sentjur.com/sl/
4226082,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,DISPANZER ZA ZDRAVSTVENO VARSTVO OTROK IN MLADOSTNIKOV D.O.O.,PREŠERNOVA ULICA 6,3310 ŽALEC,(03) 713 43 14,https://www.dom-zalec.si/index.php/2014-05-13-19-05-45
6369009,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"DOKTOR M, ZDRAVSTVENE STORITVE D.O.O.",SPODNJE NEGONJE 16 C,3250 ROGAŠKA SLATINA,,http://www.doktor-m.si
6381897,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"DRUŽINSKA MEDICINA BILIĆ, MEDICINSKE STORITVE, D.O.O.",PILŠTANJ 20,3261 LESIČNO,,http://www.zdravniki-zobozdravniki.net/clan/Brankica-BILIC-PETROVIC-783/
6381804,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"DRUŽINSKA MEDICINA BOŽIČEK, ZDRAVSTVENE STORITVE D.O.O.",BISTRICA OB SOTLI 61,3256 BISTRICA OB SOTLI,,http://medicinabozicek.spisarna.si/
5092823,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"KLAROS ZDRAVSTVO, IZOBRAŽEVANJE, SVETOVANJE, D.O.O.",DOBRNA 34 A,3204 DOBRNA,,
4221648,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"MEDIKMIKO, STORITVE IN SVETOVANJE D.O.O.",ZADOBROVA 49 B,3211 ŠKOFJA VAS,03 543 42 31,http://www.medikmiko.si
4191861,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"PACIENT MEDICINSKI CENTER ZREČE, PODJETJE ZA ZDRAVSTVENE STORITVE, D.O.O.",DOBROVELJSKA CESTA 1,3214 ZREČE,03 757 65 50,http://laramed.si/
3136373,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,POLIMAC DUŠAN - ZASEBNA ZDRAVNIŠKA ORDINACIJA,ULICA BRATOV VOŠNJAKOV 12,3000 CELJE,(03) 490 49 00,http://poli.kozel.be/about-us/
3097170,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,PRAZNIK IGOR - ZASEBNA ZDRAVNIŠKA ORDINACIJA,CELJSKA CESTA 24 B,3212 VOJNIK,(03) 577 35 04,https://www.zdravniki-zobozdravniki.net/clan/Igor-PRAZNIK-502/
3122236,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,UNUK- KLANČNIK IRENA - ZASEBNA ORDINACIJA,MESTNI TRG 17,3210 SLOVENSKE KONJICE,03 759 31 70,https://www.zdravniki-zobozdravniki.net/clan/Irena-UNUK-KLANCNIK-18/
6360638,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"VOMED, ZDRAVSTVENE STORITVE, D.O.O.",OB PROGI 3,3250 ROGAŠKA SLATINA,03 819 29 21,http://www.vomed.si
6100177,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA AMBULANTA POLONA SAGADIN, DR. MED., SPEC. DRUŽINSKE MEDICINE",GLAVNI TRG 15,3313 POLZELA,041 719 000,http://www.zdravniki-zobozdravniki.net/clan/Polona-SAGADIN-1316/
4108510,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA AMBULANTA SPLOŠNE MEDICINE MARTINA HROVAT, DR.MED.SPEC.SPL.MED.",GLAVNI TRG 15,3313 POLZELA,03 705 08 02,https://www.zdravniki-zobozdravniki.net/clan/Martina-HROVAT-843/
4104860,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA AMBULANTA SPLOŠNE MEDICINE SLAVKO JERNEJŠEK, DR.MED., SPECIALIST SPLOŠNE MEDICINE",GLAVNI TRG 15,3313 POLZELA,03 705 08 08,https://www.zdravniki-zobozdravniki.net/clan/Slavko-JERNEJSEK-849/
4342168,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,ZASEBNA AMBULANTA TATJANA TISOVIC RUS DR. MED.,KOVAŠKA CESTA 22,3214 ZREČE,03 752 13 20,https://www.zdravniki-zobozdravniki.net/clan/Tatjana-TISOVIC-RUS-1019/
5801252,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,ZASEBNA ORDINACIJA DR. JADEK D.O.O.,CANKARJEVA ULICA 6,3000 CELJE,(03) 492 47 00,http://www.jadek.si
4220901,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA PEDIATRIČNA AMBULANTA DAMIR DABRANIN, DR.MED., SPECIALIST PEDIATER",MESTNI TRG 17,3210 SLOVENSKE KONJICE,(03) 759 06 95,http://www.zpa.si/kontakt.php
4343331,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA SPLOŠNA AMBULANTA - SABINA REZAR, DR.MED.",ŠMARTNO OB PAKI 146 B,3327 ŠMARTNO OB PAKI,(03) 705 09 21,https://www.zdravniki-zobozdravniki.net/clan/Sabina-REZAR-1270/
6352845,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA SPLOŠNA AMBULANTA ALEŠ BLAZNIK, DR.MED. D.O.O.",OB KOPRIVNICI 81,3000 CELJE,(03) 543 42 53,http://www.alesblaznik.si/
4347260,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA SPLOŠNA AMBULANTA IRENA MAJCEN, DR. MED., SPECIALISTKA DRUŽINSKE MEDICINE",GRAŠČINSKA CESTA 11,3312 PREBOLD,(03) 705 32 25,https://www.zdravniki-zobozdravniki.net/clan/Irena-MAJCEN-1519/
4345346,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA SPLOŠNA ORDINACIJA MARJAN BERGINC, DR. MED.",MESTNI TRG 17,3210 SLOVENSKE KONJICE,(03) 759 32 90,https://www.marjanberginc.si/ambulante/
4108478,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA ZDRAVNIŠKA ORDINACIJA ANDREJ KRAVOS, DR.MED., SPECIALIST SPLOŠNE MEDICINE",PREŠERNOVA ULICA 6,3310 ŽALEC,03 713 43 26,https://dzdravje.si/ordinacija-kravos/
4108481,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZASEBNA ZDRAVNIŠKA ORDINACIJA BRIGITA ARTIČEK MESAREC DR.MED., SPECIALISTKA SPLOŠNE MEDICINE",PREŠERNOVA ULICA 6,3310 ŽALEC,03 713 43 69,https://www.zdravniki-zobozdravniki.net/clan/Brigita-ARTICEK-MESAREC-842/
4108356,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,ZASEBNA ZDRAVSTVENA AMBULANTA VERA RUPEL DR. MED.,GRAŠČINSKA CESTA 11,3312 PREBOLD,(03) 705 35 70,https://www.zdravniki-zobozdravniki.net/clan/Vera-RUPEL-844/
8664533,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,"ZDRAVSTVENI CENTER VITANJE, ZDRAVSTVENA DEJAVNOST IN STORITVE, D.O.O.",NA VASI 11,3205 VITANJE,03 752 50 16,
3123106,Zasebni,OE CELJE,"Družinski, otroški in šolski zdravnik",210000,ŽERJAV MANICA - DOKTOR MEDICINE,JENKOVA ULICA 36,3000 CELJE,(03) 492 55 60,https://www.zdravniki-zobozdravniki.net/clan/Manica-ZERJAV-369/
5823780,Zasebni,OE CELJE,Specialist,210000,"GINEKOLOGIJA DR. FRANIĆ, ZDRAVSTVENE IN IZOBRAŽEVALNE DEJAVNOSTI, D.O.O.",CELJSKA CESTA 10,3250 ROGAŠKA SLATINA,03 581 55 50,http://www.ginekologija.si
8500250,Zasebni,OE CELJE,Specialist,210000,"GINEKOLOŠKA AMBULANTA, MIRJAM HORVAT ČETINA S.P.",RIMSKA CESTA 70,3311 ŠEMPETER V SAVINJSKI DOLINI,,
6540995,Zasebni,OE CELJE,Specialist,210000,"KARDIOLOGIJA MARINŠEK & GINEKOLOGIJA PETERNELJ, ZDRAVSTVENE STORITVE, SVETOVANJE IN IZOBRAŽEVANJE D.O.O.",DOBRIŠA VAS 81,3301 PETROVČE,030 389 089,http://www.ginekologija-peternelj.si
6985310,Zasebni,OE CELJE,Specialist,210000,"ORDINACIJA GAŠPERLIN DOVNIK, GINEKOLOGIJA IN DENZITOMETRIJA D.O.O.",JENKOVA ULICA 20,3000 CELJE,03 543 44 34,http://nuhalna-svetlina.com
3631693,Zasebni,OE CELJE,Specialist,210000,SIMONITI FILIP - SIMMED ZASEBNA GINEKOLOŠKA AMBULANTA,ULICA DUŠANA KVEDRA 27,3230 ŠENTJUR,03 749 31 31,http://www.ginekologija-simoniti.si
89028,Zasebni,OE CELJE,Zdravilišče,210000,"TERME DOBRNA, TERMALNO ZDRAVILIŠČE D.D.",DOBRNA 50,3204 DOBRNA,03 780 81 10,https://www.terme-dobrna.si/
816804,Zasebni,OE CELJE,Zobozdravnik,210000,"ANDROMEDA, ZOBOZDRAVSTVO D.O.O.",CESTA V ZADOBROVO 12,3000 CELJE,041 446 623,https://www.zdravniki-zobozdravniki.net/clan/Irena-ZAVODNIK-1273/
3957750,Zasebni,OE CELJE,Zobozdravnik,210000,"ANJA TROBEC, DR.DENT.MED. - ZASEBNA ZOBNA AMBULANTA",CESTA LEONA DOBROTINŠKA 5,3230 ŠENTJUR,03 749 04 70,http://www.zobozdravnica-anjatrobec.com
3122128,Zasebni,OE CELJE,Zobozdravnik,210000,BERANIČ STANISLAV - DOKTOR STOMATOLOGIJE,NA VASI 11,3205 VITANJE,03 577 50 43,https://www.zdravniki-zobozdravniki.net/clan/Stanislav-BERANIC-26/
3123080,Zasebni,OE CELJE,Zobozdravnik,210000,DRENIK IRENA - ZASEBNA ZOBNA AMBULANTA,NAZORJEVA ULICA 14,3000 CELJE,(03) 492 12 40,https://www.zdravniki-zobozdravniki.net/clan/Irena-DRENIK-170/
5088219,Zasebni,OE CELJE,Zobozdravnik,210000,"FERDENT, ZOBOZDRAVSTVENE STORITVE, D.O.O.",CESTA LEONA DOBROTINŠKA 6 A,3230 ŠENTJUR,03 746 24 70,http://www.ferdent.si
4351752,Zasebni,OE CELJE,Zobozdravnik,210000,"GOR.COM ZOBOZDRAVSTVO, PROIZVODNJA, POSREDNIŠTVO IN STORITVE D.O.O.",GORICA PRI ŠMARTNEM 13,3201 ŠMARTNO V ROŽNI DOLINI,03 781 07 07,http://www.gorcom.si
3957869,Zasebni,OE CELJE,Zobozdravnik,210000,"JASMINA VENGUST, DR.DENT.MED. - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA",GLAVNI TRG 15,3313 POLZELA,03 705 07 22,https://www.zdravniki-zobozdravniki.net/clan/Jasmina-VENGUST-1453/
3759150,Zasebni,OE CELJE,Zobozdravnik,210000,MALINGER MARTIN LUKA DR.STOM. - STOMATOLOŠKA ORDINACIJA,LAVA 7,3000 CELJE,040 559 959,http://www.slovenski-zobozdravniki.si/martin-luka-malinger
3219790,Zasebni,OE CELJE,Zobozdravnik,210000,MATEK IVAN - ZASEBNA ZOBNA AMBULANTA,PETROVČE 95,3301 PETROVČE,03 710 15 50,http://www.matek.si
