zzzsSt,vrsta,oe,tip,sifOe,naziv,naslov,posta,tel,splStran,popravljeno
3005462,Javni,OE KOPER,Lekarna,220000,JAVNI ZAVOD KRAŠKE LEKARNE ILIRSKA BISTRICA,GREGORČIČEVA CESTA 8 A,6250 ILIRSKA BISTRICA,05 711 17 40,https://www.kraske-lekarne.si/,2021-03-10T07:49:58Z
89503,Javni,OE KOPER,Lekarna,220000,OBALNE LEKARNE KOPER FARMACIE COSTIERE CAPODISTRIA,KIDRIČEVA ULICA 2,6000 KOPER - CAPODISTRIA,(05) 611 00 00,www.obalne-lekarne.si,2021-03-10T07:49:45Z
92853,Javni,OE KOPER,Posebni zavod,220000,"CENTER ZA KOMUNIKACIJO, SLUH IN GOVOR PORTOROŽ - CENTRO PER LA COMUNICAZIONE, L'UDITO E LA PRONUNCIA PORTOROSE",SONČNA POT 14 A,6320 PORTOROŽ - PORTOROSE,05 617 02 00,www.cksg.si,2021-03-10T07:49:47Z
467193,Javni,OE KOPER,Posebni zavod,220000,DOM NA KRASU,DUTOVLJE 128,6221 DUTOVLJE,05 70 84 100,www.domnakrasu.si,2021-03-10T07:49:51Z
84003,Javni,OE KOPER,Posebni zavod,220000,STROKOVNI CENTER PLANINA,PLANINA 211,6232 PLANINA,,,2021-10-17T23:10:50Z
3638140,Javni,OE KOPER,Posebni zavod,220000,VARSTVENO DELOVNI CENTER KOPER - CENTRO DI ASSISTENZA E TERAPIA LAVORATIVA CAPODISTRIA,MUZEJSKI TRG 7,6000 KOPER - CAPODISTRIA,05 626 28 51,http://vdckoper.si/,2021-03-10T07:50:13Z
3638106,Javni,OE KOPER,Posebni zavod,220000,VARSTVENO DELOVNI CENTER POSTOJNA,POT K PIVKI 2 B,6230 POSTOJNA,05 720 45 70,www.vdc-postojna.si,2021-03-10T07:50:13Z
488325,Javni,OE KOPER,Socialni zavod,220000,DOM STAREJŠIH OBČANOV ILIRSKA BISTRICA,KIDRIČEVA ULICA 15,6250 ILIRSKA BISTRICA,05 714 08 00,www.dso-ilb.si,2021-03-10T07:49:51Z
82340,Javni,OE KOPER,Socialni zavod,220000,DOM UPOKOJENCEV IZOLA - CASA DEL PENSIONATO ISOLA,KOSOVELOVA ULICA 22,6310 IZOLA - ISOLA,05 610 02 00,dom-izola.si,2021-03-10T07:49:44Z
84017,Javni,OE KOPER,Socialni zavod,220000,DOM UPOKOJENCEV POSTOJNA,ROŽNA ULICA 10,6230 POSTOJNA,05 700 11 05,du-po.si,2021-03-10T07:49:44Z
84202,Javni,OE KOPER,Socialni zavod,220000,DOM UPOKOJENCEV SEŽANA,ULICA IVANA TURŠIČA 6,6210 SEŽANA,05 731 17 00,www.dus.si,2021-03-10T07:49:44Z
218971,Javni,OE KOPER,Socialni zavod,220000,OBALNI DOM UPOKOJENCEV KOPER - CASA COSTIERA DEL PENSIONATO CAPODISTRIA,KROŽNA CESTA 5,6000 KOPER - CAPODISTRIA,05 665 97 06,www.odu-koper.si,2021-03-10T07:49:49Z
751699,Javni,OE KOPER,Zdravstveni dom,220000,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",PREČNA ULICA 2,6230 POSTOJNA,05 700 04 00,www.zd-po.si,2021-03-10T07:49:53Z
751640,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM ILIRSKA BISTRICA,GREGORČIČEVA CESTA 8,6250 ILIRSKA BISTRICA,05 711 21 00,www.zdib.si,2021-03-10T07:49:53Z
724180,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM IZOLA,ULICA OKTOBRSKE REVOLUCIJE 11,6310 IZOLA - ISOLA,05 663 50 50,https://www.zd-izola.si/,2021-03-10T07:49:53Z
705728,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM KOPER CASA DELLA SANITA CAPODISTRIA,DELLAVALLEJEVA ULICA 3,6000 KOPER - CAPODISTRIA,05 664 71 00,https://www.zd-koper.si/,2021-03-10T07:49:53Z
710804,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM PIRAN POLIAMBULATORIO PIRANO,CESTA SOLINARJEV 1,6320 PORTOROŽ - PORTOROSE,05 620 72 32,www.zd-piran.si,2021-03-10T07:49:53Z
141762,Javni,OE KOPER,Zdravstveni dom,220000,ZDRAVSTVENI DOM SEŽANA,PARTIZANSKA CESTA 24,6210 SEŽANA,05 731 14 00,https://www.zd-sezana.si/,2021-03-10T07:49:48Z
89582,Javni,OE KRANJ,Bolnišnica,240000,BOLNIŠNICA ZA GINEKOLOGIJO IN PORODNIŠTVO KRANJ,KIDRIČEVA CESTA 38 A,4000 KRANJ,04 208 28 00,https://www.bolnisnica-kranj.si/,2021-03-10T07:49:45Z
92225,Javni,OE KRANJ,Bolnišnica,240000,PSIHIATRIČNA BOLNIŠNICA BEGUNJE,BEGUNJE NA GORENJSKEM 55,4275 BEGUNJE NA GORENJSKEM,,https://www.pb-begunje.si/,2021-03-10T07:49:46Z
89383,Javni,OE KRANJ,Bolnišnica,240000,SPLOŠNA BOLNIŠNICA JESENICE,CESTA MARŠALA TITA 112,4270 JESENICE,04 586 80 00,www.sb-je.si,2021-03-10T07:49:45Z
2937550,Javni,OE KRANJ,Bolnišnica,240000,UNIVERZITETNA KLINIKA ZA PLJUČNE BOLEZNI IN ALERGIJO GOLNIK,GOLNIK 36,4204 GOLNIK,,http://www.klinika-golnik.si/,2021-03-10T07:49:57Z
89608,Javni,OE KRANJ,Lekarna,240000,JAVNI LEKARNIŠKI ZAVOD GORENJSKE LEKARNE,GOSPOSVETSKA ULICA 12,4000 KRANJ,,https://www.gorenjske-lekarne.si/,2021-03-10T07:49:45Z
829014,Javni,OE KRANJ,Posebni zavod,240000,"CENTER ZA USPOSABLJANJE, DELO IN VARSTVO MATEVŽA LANGUSA, RADOVLJICA",CESTA NA JEZERCA 17,4240 RADOVLJICA,,http://www.cudv-ml.si/,2021-03-10T07:49:55Z
3260758,Javni,OE KRANJ,Posebni zavod,240000,VARSTVENO DELOVNI CENTER KRANJ,KIDRIČEVA CESTA 51,4000 KRANJ,,https://www.vdc-kranj.com/,2021-03-10T07:50:08Z
84494,Javni,OE KRANJ,Socialni zavod,240000,"CENTER SLEPIH, SLABOVIDNIH IN STAREJŠIH ŠKOFJA LOKA",STARA LOKA 31,4220 ŠKOFJA LOKA,,www.css-sl.si,2021-03-10T07:49:44Z
133082,Javni,OE KRANJ,Socialni zavod,240000,DOM DR. JANKA BENEDIKA RADOVLJICA,ŠERCERJEVA ULICA 35,4240 RADOVLJICA,,http://www.dom-drjankabenedika.si/,2021-03-10T07:49:48Z
211440,Javni,OE KRANJ,Socialni zavod,240000,DOM PETRA UZARJA,ROČEVNICA 58,4290 TRŽIČ,,,2021-03-10T07:49:49Z
82721,Javni,OE KRANJ,Socialni zavod,240000,DOM STAREJŠIH OBČANOV PREDDVOR,POTOČE 2,4205 PREDDVOR,,http://www.dso-preddvor.si/domov.html,2021-03-10T07:49:44Z
82354,Javni,OE KRANJ,Socialni zavod,240000,"DOM UPOKOJENCEV DR. FRANCETA BERGELJA, JESENICE",ULICA STANETA BOKALA 4,4270 JESENICE,,http://dom-jesenice.si/sl-si/,2021-03-10T07:49:44Z
85759,Javni,OE KRANJ,Socialni zavod,240000,DOM UPOKOJENCEV KRANJ,CESTA 1. MAJA 59,4000 KRANJ,,https://www.du-kranj.si/,2021-03-10T07:49:44Z
203384,Javni,OE KRANJ,Zdravstveni dom,240000,OSNOVNO ZDRAVSTVO GORENJSKE,GOSPOSVETSKA ULICA 9,4000 KRANJ,,https://www.ozg-kranj.si/,2021-03-10T07:49:49Z
140506,Javni,OE KRŠKO,Bolnišnica,230000,SPLOŠNA BOLNIŠNICA BREŽICE,ČERNELČEVA CESTA 15,8250 BREŽICE,,https://www.sb-brezice.si/,2021-03-10T07:49:48Z
89733,Javni,OE KRŠKO,Lekarna,230000,JZ LEKARNA KRŠKO,CESTA KRŠKIH ŽRTEV 132 C,8270 KRŠKO,07 488 10 95,https://www.lekarna-krsko.si/,2021-03-10T07:49:45Z
89014,Javni,OE KRŠKO,Lekarna,230000,LEKARNA BREŽICE,ČERNELČEVA CESTA 8,8250 BREŽICE,074 994 731,www.lekarna-brezice.si,2021-03-10T07:49:45Z
92594,Javni,OE KRŠKO,Lekarna,230000,LEKARNA SEVNICA,TRG SVOBODE 14,8290 SEVNICA,078 161 620,http://www.lekarna-sevnica.si/,2021-04-13T23:11:27Z
3269271,Javni,OE KRŠKO,Posebni zavod,230000,VARSTVENO DELOVNI CENTER KRŠKO-LESKOVEC,ULICA STANETA ŽAGARJA 4,8273 LESKOVEC PRI KRŠKEM,07 490 51 60,http://www.vdckrsko.si/,2021-03-10T07:50:08Z
859837,Javni,OE KRŠKO,Socialni zavod,230000,DOM STAREJŠIH OBČANOV KRŠKO,KOVINARSKA ULICA 13,8270 KRŠKO,074 881 850,http://www.dsokrsko.si/,2021-05-23T23:10:50Z
84156,Javni,OE KRŠKO,Socialni zavod,230000,DOM UPOKOJENCEV IN OSKRBOVANCEV IMPOLJCA,ARTO 13,8293 STUDENEC,07 816 1400,www.impoljca.si,2021-03-10T07:49:44Z
94348,Javni,OE KRŠKO,Socialni zavod,230000,TRUBARJEV DOM UPOKOJENCEV,LOKA PRI ZIDANEM MOSTU 48,1434 LOKA PRI ZIDANEM MOSTU,03 565 81 00,,2021-03-10T07:49:47Z
95801,Javni,OE KRŠKO,Zdravstveni dom,230000,ZDRAVSTVENI DOM BREŽICE,ČERNELČEVA CESTA 8,8250 BREŽICE,074 991 400,https://www.zd-brezice.si/,2021-03-10T07:49:47Z
91770,Javni,OE KRŠKO,Zdravstveni dom,230000,ZDRAVSTVENI DOM KRŠKO,CESTA KRŠKIH ŽRTEV 132 C,8270 KRŠKO,074 880 200,http://www.zd-krsko.si/,2021-03-10T07:49:46Z
622056,Javni,OE KRŠKO,Zdravstveni dom,230000,ZDRAVSTVENI DOM SEVNICA,TRG SVOBODE 14,8290 SEVNICA,078 161 500,https://www.zd-sevnica.si/,2021-03-10T07:49:52Z
89275,Javni,OE LJUBLJANA,Bolnišnica,250000,BOLNIŠNICA ZA OTROKE ŠENTVID PRI STIČNI,ŠENTVID PRI STIČNI 44,1296 ŠENTVID PRI STIČNI,(01) 788 74 50,www.bos-sentvid.si,2021-12-15T00:11:29Z
272747,Javni,OE LJUBLJANA,Bolnišnica,250000,MLADINSKO KLIMATSKO ZDRAVILIŠČE RAKITNA,RAKITNA 96,1352 PRESERJE,01 365 98 00,https://www.mkz-rakitna.si/,2021-03-10T07:49:50Z
94226,Javni,OE LJUBLJANA,Bolnišnica,250000,ONKOLOŠKI INŠTITUT LJUBLJANA,ZALOŠKA CESTA 2,1000 LJUBLJANA,,www.onko-i.si,2021-03-10T07:49:47Z
89304,Javni,OE LJUBLJANA,Bolnišnica,250000,PSIHIATRIČNA BOLNIŠNICA IDRIJA,POT SV. ANTONA 49,5280 IDRIJA,05 373 44 00,www.pb-idrija.si,2021-03-10T07:49:45Z
92699,Javni,OE LJUBLJANA,Bolnišnica,250000,SPLOŠNA BOLNIŠNICA TRBOVLJE,RUDARSKA CESTA 9,1420 TRBOVLJE,(03) 565 25 00,http://www.sb-trbovlje.si/,2021-03-10T07:49:47Z
2934096,Javni,OE LJUBLJANA,Bolnišnica,250000,UNIVERZITETNA PSIHIATRIČNA KLINIKA LJUBLJANA,CHENGDUJSKA CESTA 45,1260 LJUBLJANA - POLJE,,https://www.psih-klinika.si/,2021-03-10T07:49:57Z
96838,Javni,OE LJUBLJANA,Bolnišnica,250000,UNIVERZITETNI KLINIČNI CENTER LJUBLJANA,ZALOŠKA CESTA 2,1000 LJUBLJANA,,www.kclj.si,2021-03-10T07:49:47Z
89807,Javni,OE LJUBLJANA,Bolnišnica,250000,UNIVERZITETNI REHABILITACIJSKI INŠTITUT REPUBLIKE SLOVENIJE - SOČA,LINHARTOVA CESTA 51,1000 LJUBLJANA,,www.ir-rs.si,2021-03-10T07:49:45Z
89932,Javni,OE LJUBLJANA,Lekarna,250000,JAVNI ZAVOD LEKARNA LJUBLJANA,KOMENSKEGA ULICA 11,1000 LJUBLJANA,,www.lekarnaljubljana.si,2021-03-10T07:49:45Z
89426,Javni,OE LJUBLJANA,Lekarna,250000,JAVNI ZAVOD MESTNE LEKARNE,ŠUTNA 7,1241 KAMNIK,,http://www.mestnelekarne.si/,2021-03-10T07:49:45Z
89457,Javni,OE LJUBLJANA,Lekarna,250000,LEKARNA KOČEVJE,ROŠKA CESTA 16,1330 KOČEVJE,,www.lekarna-kocevje.si,2021-03-10T07:49:45Z
728437,Javni,OE LJUBLJANA,Lekarna,250000,LEKARNA RIBNICA,MAJNIKOVA ULICA 1,1310 RIBNICA,,www.lekarna-ribnica.si,2021-03-10T07:49:53Z
142694,Javni,OE LJUBLJANA,Lekarna,250000,ZASAVSKE LEKARNE TRBOVLJE,RUDARSKA CESTA 12,1420 TRBOVLJE,,https://www.zasavske-lekarne.si/,2021-03-10T07:49:48Z
6173301,Javni,OE LJUBLJANA,Ostalo,250000,NACIONALNI INŠTITUT ZA JAVNO ZDRAVJE,TRUBARJEVA CESTA 2,1000 LJUBLJANA,,www.nijz.si,2021-03-10T07:50:40Z
89915,Javni,OE LJUBLJANA,Ostalo,250000,ZAVOD REPUBLIKE SLOVENIJE ZA TRANSFUZIJSKO MEDICINO,ŠLAJMERJEVA ULICA 6,1000 LJUBLJANA,,http://www.ztm.si/,2021-03-10T07:49:45Z
82368,Javni,OE LJUBLJANA,Posebni zavod,250000,"CENTER ZA IZOBRAŽEVANJE, REHABILITACIJO IN USPOSABLJANJE KAMNIK",NOVI TRG 43 A,1241 KAMNIK,,http://www.cirius-kamnik.si/,2021-03-10T07:49:44Z
213090,Javni,OE LJUBLJANA,Posebni zavod,250000,"CENTER ZA USPOSABLJANJE, DELO IN VARSTVO DOLFKE BOŠTJANČIČ, DRAGA",DRAGA 1,1292 IG,,https://www.center-db.si/,2021-03-10T07:49:49Z
484553,Javni,OE LJUBLJANA,Posebni zavod,250000,"PRIZMA PONIKVE, POSEBNI SOCIALNO VARSTVENI ZAVOD",PONIKVE 76,1312 VIDEM - DOBREPOLJE,,http://www.prizma-ponikve.si/,2021-03-10T07:49:51Z
144005,Javni,OE LJUBLJANA,Posebni zavod,250000,VARSTVENO DELOVNI CENTER INCE,ROPRETOVA CESTA 23,1234 MENGEŠ,,https://www.vdc-ince.com/,2021-03-10T07:49:48Z
92819,Javni,OE LJUBLJANA,Posebni zavod,250000,VARSTVENO DELOVNI CENTER TONČKE HOČEVAR,VODNIKOVA CESTA 56,1000 LJUBLJANA,,https://www.vdc.si/,2021-03-10T07:49:47Z
3983440,Javni,OE LJUBLJANA,Posebni zavod,250000,VARSTVENO DELOVNI CENTER VRHNIKA-IDRIJA,ROŽNA ULICA 16,5280 IDRIJA,,http://www.vdc-vi.si/,2021-03-10T07:50:17Z
538351,Javni,OE LJUBLJANA,Posebni zavod,250000,VARSTVENO DELOVNI CENTER ZASAVJE,CESTA 9. AVGUSTA 59 C,1410 ZAGORJE OB SAVI,,http://vdc-zagorje.si/,2021-05-30T23:10:47Z
675725,Javni,OE LJUBLJANA,Posebni zavod,250000,ZAVOD ZA GLUHE IN NAGLUŠNE LJUBLJANA,VOJKOVA CESTA 74,1000 LJUBLJANA,,https://www.zgnl.si/,2021-03-10T07:49:52Z
82232,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM POČITKA MENGEŠ,GLAVNI TRG 13,1234 MENGEŠ,,www.dpm.si,2021-03-10T07:49:43Z
838734,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH HRASTNIK,NOVI LOG 4 A,1430 HRASTNIK,03 565 41 02,https://dom-hrastnik.si,2021-03-10T07:49:55Z
3260090,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH LOGATEC,GUBČEVA ULICA 8 A,1370 LOGATEC,040 455 017,http://www.ds-logatec.si/,2021-03-10T07:50:08Z
3837335,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH OBČANOV FUŽINE,NOVE FUŽINE 40,1000 LJUBLJANA,,www.dso-fuzine.si,2021-03-10T07:50:14Z
248220,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH OBČANOV GROSUPLJE,OB GROSUPELJŠČICI 28,1290 GROSUPLJE,01 781 07 04,www.dso-grosuplje.si,2021-03-10T07:49:49Z
82399,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH OBČANOV KAMNIK,NEVELJSKA POT 26,1241 KAMNIK,,www.dso-kamnik.si,2021-03-10T07:49:44Z
257556,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH OBČANOV KOČEVJE,ROŠKA CESTA 22,1330 KOČEVJE,,www.dsokocevje.si,2021-03-10T07:49:49Z
199251,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH OBČANOV LJUBLJANA BEŽIGRAD,KOMANOVA ULICA 1,1000 LJUBLJANA,,www.dsolj-bezigrad.si,2021-03-10T07:49:49Z
84719,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH OBČANOV LJUBLJANA VIČ RUDNIK,CESTA NA BOKALCE 51,1000 LJUBLJANA,01 477 06 12,www.dso-vic.si,2021-03-10T07:49:44Z
237124,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH OBČANOV LJUBLJANA-MOSTE-POLJE,OB SOTOČJU 9,1000 LJUBLJANA,,http://www.dso-moste.si,2021-03-10T07:49:49Z
101324,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH OBČANOV LJUBLJANA-ŠIŠKA,KUNAVERJEVA ULICA 15,1000 LJUBLJANA,,https://domsiska.si/,2021-03-10T07:49:47Z
223799,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM STAREJŠIH OBČANOV POLDE EBERL-JAMSKI,IZLAKE 13,1411 IZLAKE,,https://www.dso-izlake.si/predstavitev.html,2021-03-10T07:49:49Z
82948,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM TISJE ŠMARTNO PRI LITIJI,ČRNI POTOK 13,1275 ŠMARTNO PRI LITIJI,01 890 01 15,http://www.dom-tisje.com,2021-03-10T07:49:44Z
85776,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM UPOKOJENCEV CENTER TABOR - POLJANE,TABOR 10,1000 LJUBLJANA,,http://duc.si/,2021-03-10T07:49:45Z
82246,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM UPOKOJENCEV DOMŽALE,KARANTANSKA CESTA 5,1230 DOMŽALE,01 724 12 30,www.dom-upokojencev-domzale.com,2021-03-10T07:49:44Z
138184,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM UPOKOJENCEV FRANC SALAMON TRBOVLJE,KOLONIJA 1. MAJA 21,1420 TRBOVLJE,(03) 565 33 00,http://www.dufs.eu/,2021-03-12T00:11:23Z
85103,Javni,OE LJUBLJANA,Socialni zavod,250000,DOM UPOKOJENCEV VRHNIKA,IDRIJSKA CESTA 13,1360 VRHNIKA,030 487 734,www.du-vrhnika.si,2021-12-06T00:11:28Z
645150,Javni,OE LJUBLJANA,Socialni zavod,250000,"ZAVOD DOM MARIJE IN MARTE - KARITAS LOGATEC, DOM ZA OSTARELE",ŠOLSKA POT 1,1370 LOGATEC,01 754 20 40,http://zupnija-dolnji-logatec.rkc.si/dom-marije-in-marte/,2021-03-10T07:49:52Z
83329,Javni,OE LJUBLJANA,Zdravstveni dom,250000,"SVETOVALNI CENTER ZA OTROKE, MLADOSTNIKE IN STARŠE LJUBLJANA",GOTSKA ULICA 18,1000 LJUBLJANA,01 583 75 35,www.scoms-lj.si,2021-03-10T07:49:44Z
179839,Javni,OE LJUBLJANA,Zdravstveni dom,250000,SŽ - ŽELEZNIŠKI ZDRAVSTVENI DOM LJUBLJANA,CELOVŠKA CESTA 4,1000 LJUBLJANA,(01) 33 05 101,http://www.zzd.si/,2021-03-10T07:49:48Z
488940,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM DOMŽALE,MESTNI TRG 2,1230 DOMŽALE,,https://www.zd-domzale.si,2021-03-10T07:49:51Z
199049,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM DR. BOŽIDARJA LAVRIČA - CERKNICA,CESTA 4. MAJA 17,1380 CERKNICA,(01) 70 50 100,http://www.zd-cerknica.si/,2021-03-10T07:49:49Z
205431,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM DR. JANEZA ORAŽMA RIBNICA,MAJNIKOVA ULICA 1,1310 RIBNICA,(01) 837 22 00,https://www.zdribnica.si/,2021-03-10T07:49:49Z
96292,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM DR. JULIJA POLCA KAMNIK,NOVI TRG 26,1241 KAMNIK,,www.zdkamnik.si,2021-03-10T07:49:47Z
2817672,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM GROSUPLJE,POD GOZDOM CESTA I 14,1290 GROSUPLJE,,http://sl.zd-grosuplje.si/,2021-03-10T07:49:56Z
102182,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM HRASTNIK,NOVI DOM 11,1430 HRASTNIK,(03) 565 44 50,http://zd-hrastnik.si/,2021-03-10T07:49:47Z
199109,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM IDRIJA,ULICA OTONA ŽUPANČIČA 3,5280 IDRIJA,,www.zd-idrija.si,2021-03-10T07:49:49Z
2817701,Javni,OE LJUBLJANA,Zdravstveni dom,250000,ZDRAVSTVENI DOM IVANČNA GORICA,CESTA 2. GRUPE ODREDOV 16,1295 IVANČNA GORICA,01 781 90 00,http://sl.zd-ivg.si/,2021-03-10T07:49:56Z
